globalIndex,MaxSuccessfulTests,MaxSuccessfulTestsTimesteps,controlValues_00,controlValues_01,controlValues_10,controlValues_11,controlValues_20,controlValues_21,case,computationIndex
47,50,15360,1,4.0,0,3,0,0,3,47
146,50,15360,1,10.0,0,2,0,0,2,146
152,50,15360,1,10.0,0,3,0,0,3,152
171,50,15360,1,10.0,0,7,0,0,2,171
174,50,15360,1,10.0,0,7,0,0,5,174
272,50,15360,2,2.0,0,6,0,0,3,272
312,50,15360,2,4.0,0,7,0,0,3,312
342,50,16640,2,6.0,0,6,0,0,3,342
347,50,16640,2,6.0,0,7,0,0,3,347
361,50,15360,2,8.0,0,3,0,0,2,361
365,50,16640,2,8.0,0,4,0,0,1,365
374,50,15360,2,8.0,0,5,0,0,5,374
430,50,16640,2,12.0,0,3,0,0,1,430
431,49,15360,2,12.0,0,3,0,0,2,431
479,50,15360,2,14.0,0,5,0,0,5,479
480,50,16640,2,14.0,0,6,0,0,1,480
485,50,16640,2,14.0,0,7,0,0,1,485
489,50,15360,2,14.0,0,7,0,0,5,489
515,50,16640,3,2.0,0,6,0,0,1,515
520,50,16640,3,2.0,0,7,0,0,1,520
539,50,15360,3,4.0,0,3,0,0,5,539
567,50,16640,3,6.0,0,2,0,0,3,567
575,50,16640,3,6.0,0,4,0,0,1,575
576,50,15360,3,6.0,0,4,0,0,2,576
607,50,15360,3,8.0,0,3,0,0,3,607
620,50,16640,3,8.0,0,6,0,0,1,620
701,50,15360,3,14.0,0,1,0,0,2,701
706,50,15360,3,14.0,0,2,0,0,2,706
722,50,16640,3,14.0,0,5,0,0,3,722
749,50,15360,4,2.0,0,3,0,0,5,749
757,50,16640,4,2.0,0,5,0,0,3,757
775,50,16640,4,4.0,0,2,0,0,1,775
785,50,16640,4,4.0,0,4,0,0,1,785
790,50,16640,4,4.0,0,5,0,0,1,790
792,50,16640,4,4.0,0,5,0,0,3,792
810,50,16640,4,6.0,0,2,0,0,1,810
822,50,16640,4,6.0,0,4,0,0,3,822
835,50,16640,4,6.0,0,7,0,0,1,835
856,50,15360,4,8.0,0,4,0,0,2,856
881,50,15360,4,10.0,0,2,0,0,2,881
897,49,16640,4,10.0,0,5,0,0,3,897
920,50,16640,4,12.0,0,3,0,0,1,920
940,50,16640,4,12.0,0,7,0,0,1,940
944,50,15360,4,12.0,0,7,0,0,5,944
965,50,16640,4,14.0,0,5,0,0,1,965
992,50,16640,5,2.0,0,3,0,0,3,992
1002,50,16640,5,2.0,0,5,0,0,3,1002
1055,50,16640,5,6.0,0,2,0,0,1,1055
1101,50,15360,5,8.0,0,4,0,0,2,1101
1111,50,15360,5,8.0,0,6,0,0,2,1111
1130,50,16640,5,10.0,0,3,0,0,1,1130
1151,50,16640,5,10.0,0,7,0,0,2,1151
1201,50,15360,5,14.0,0,3,0,0,2,1201
1272,50,15360,6,4.0,0,3,0,0,3,1272
1341,50,15360,6,8.0,0,3,0,0,2,1341
1382,50,15360,6,10.0,0,4,0,0,3,1382
1395,50,16640,6,10.0,0,7,0,0,1,1395
1445,50,16640,6,14.0,0,3,0,0,1,1445
1450,50,16640,6,14.0,0,4,0,0,1,1450
1455,50,16640,6,14.0,0,5,0,0,1,1455
1482,50,15360,7,2.0,0,3,0,0,3,1482
1487,50,15360,7,2.0,0,4,0,0,3,1487
1495,50,16640,7,2.0,0,6,0,0,1,1495
1620,50,16640,7,10.0,0,3,0,0,1,1620
1635,50,16640,7,10.0,0,6,0,0,1,1635
1696,48,15360,7,14.0,0,4,0,0,2,1696
1782,50,16640,8,4.0,0,7,0,0,3,1782
1792,50,15360,8,6.0,0,2,0,0,3,1792
1926,50,15360,8,14.0,0,1,0,0,2,1926
1944,50,15360,8,14.0,0,4,0,0,5,1944
1976,50,15360,9,2.0,0,4,0,0,2,1976
1986,50,15360,9,2.0,0,6,0,0,2,1986
2020,50,16640,9,4.0,0,6,0,0,1,2020
2052,50,15360,9,6.0,0,5,0,0,3,2052
2075,50,16640,9,8.0,0,3,0,0,1,2075
2077,50,15360,9,8.0,0,3,0,0,3,2077
2085,50,16640,9,8.0,0,5,0,0,1,2085
2112,50,15360,9,10.0,0,3,0,0,3,2112
2156,50,15360,9,12.0,0,5,0,0,2,2156
2185,50,16640,9,14.0,0,4,0,0,1,2185
2232,50,16640,10,2.0,0,6,0,0,3,2232
2234,50,15360,10,2.0,0,6,0,0,5,2234
2255,50,16640,10,4.0,0,4,0,0,1,2255
2270,50,16640,10,4.0,0,7,0,0,1,2270
